20240602	12:33:58	13050898-8e2d-44a7-a036-04c2432cca1e	[6/2/2024, 12:33:58 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	12:33:58	7de3b812-6e1a-4059-a290-2a05d2444860	[6/2/2024, 12:33:58 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	12:33:58	5847f615-a985-42b2-9bc3-db934335d415	[6/2/2024, 12:33:58 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	12:40:38	35c74f17-72fa-40d5-8aa7-d249a086168e	[6/2/2024, 12:40:38 PM]	GET	undefined	/
20240602	12:40:38	75144bb1-a0a2-49fd-b513-55165a766ba5	[6/2/2024, 12:40:38 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	12:40:38	037d42f6-338e-4189-a007-bce236721983	[6/2/2024, 12:40:38 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	12:40:38	09b3a9ab-2619-4c7c-bf48-6d8f4431da30	[6/2/2024, 12:40:38 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	12:40:38	7cff463f-0a51-446f-81c5-31d96c4055c1	[6/2/2024, 12:40:38 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	12:40:38	6f89ac30-6862-4f95-8fd1-038e1ea314ec	[6/2/2024, 12:40:38 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	12:40:38	ba22f2d7-2e8c-405d-b4da-5fa1777f6834	[6/2/2024, 12:40:38 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	12:40:39	12fbc6fa-df8a-4f55-924f-4d0a869bee7b	[6/2/2024, 12:40:39 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	12:44:59	e9e83deb-3b77-4293-a895-66705dd2241b	[6/2/2024, 12:44:59 PM]	GET	undefined	/
20240602	12:44:59	0b4168c9-bbff-46c4-ab0d-11fedea12739	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	12:44:59	849d2ef9-748f-45a8-9476-f72a674674ff	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
